epochs,loss
1,0.0375796
2,0.00345488
3,0.00203514
4,0.00113992
5,0.000519926
6,0.000181086
7,4.83737e-05
8,1.92841e-05
9,1.41161e-05
10,1.20788e-05
11,1.05012e-05
12,9.21562e-06
13,8.46662e-06
14,7.48726e-06
15,6.83257e-06
16,6.29655e-06
17,5.85933e-06
18,5.6629e-06
19,5.15708e-06
20,5.02306e-06
21,4.42669e-06
22,4.56602e-06
23,4.0451e-06
24,3.81217e-06
25,4.32677e-06
26,1.08093e-05
27,5.5943e-06
28,3.19917e-06
29,1.37932e-05
30,3.43378e-05
31,9.59234e-05
32,0.000126022
33,8.41783e-06
34,2.65567e-06
35,2.56277e-06
36,2.28301e-06
37,2.37048e-05
38,0.00122607
39,4.28594e-06
40,3.07675e-06
41,2.56756e-06
42,2.20208e-06
43,2.0872e-06
44,1.79911e-06
45,1.73397e-06
46,1.62249e-06
47,1.65751e-06
48,1.54388e-06
49,1.56308e-06
50,1.35353e-06
51,5.41235e-06
52,2.02098e-06
53,2.19081e-06
54,6.67837e-06
55,0.000136714
56,0.000175636
57,1.85764e-06
58,1.38524e-06
59,1.07356e-06
60,1.06669e-06
61,1.11306e-06
62,1.03961e-06
63,1.20397e-06
64,1.00519e-06
65,1.6085e-05
66,0.000200316
67,1.30475e-06
68,9.16087e-07
69,8.17504e-07
70,7.4385e-07
71,1.04817e-06
72,8.25772e-07
73,8.42004e-07
74,3.51901e-05
75,6.27159e-06
76,3.9419e-06
77,0.000364622
78,1.6411e-06
79,9.36765e-07
80,7.06852e-07
81,5.94403e-07
82,5.77629e-07
83,5.92586e-07
84,5.85002e-07
85,5.75178e-07
86,7.08184e-07
87,7.49636e-07
88,7.06726e-07
89,1.91897e-06
90,1.48215e-05
91,6.5614e-06
92,0.000184324
93,1.22026e-06
94,7.40789e-07
95,5.1896e-07
96,4.83973e-07
97,3.97644e-07
98,6.00126e-07
99,3.77641e-07
100,3.78756e-07
101,4.73679e-07
102,0.000264213
103,7.45622e-07
104,5.38831e-07
105,4.5914e-07
106,4.03914e-07
107,4.87267e-07
108,3.38525e-07
109,3.42532e-07
110,3.25559e-07
111,5.83228e-07
112,5.2839e-07
113,2.9174e-06
114,2.63874e-06
115,4.68029e-07
116,4.23104e-06
117,5.07244e-07
118,0.000181441
119,1.00344e-05
120,7.65236e-07
121,5.61544e-07
122,4.26718e-07
123,4.28708e-07
124,3.71415e-07
125,3.36041e-07
126,7.87174e-07
127,3.66281e-07
128,5.06917e-06
129,4.89175e-07
130,2.6026e-07
131,8.76703e-07
132,3.78671e-06
133,7.69764e-05
134,3.75826e-06
135,4.56394e-07
136,3.54955e-07
137,1.68922e-06
138,1.71187e-06
139,4.47985e-07
140,9.32553e-06
141,4.05504e-05
142,3.80903e-07
143,2.64734e-07
144,2.66141e-07
145,3.36239e-07
146,1.27669e-06
147,2.16177e-06
148,7.92203e-06
149,6.10418e-06
150,0.000110672
151,5.13035e-07
152,3.20936e-07
153,2.88535e-07
154,2.4192e-07
155,3.72225e-07
156,3.86242e-07
157,2.83314e-07
158,2.40525e-07
159,2.12561e-05
160,1.72934e-05
161,7.34739e-07
162,2.1494e-07
163,5.15818e-07
164,3.32306e-07
165,5.49708e-05
166,3.99342e-07
167,2.22608e-07
168,2.06218e-07
169,3.85816e-07
170,1.68592e-06
171,1.98489e-05
172,2.80652e-07
173,4.67751e-07
174,1.9081e-07
