x,Dy,Rz
0,0,0
0.05,-0.160087700892754,-4.19888492498336
0.1,-0.482382663309147,-6.97132432314263
0.15,-0.913764601031796,-8.88980420179241
0.2,-1.42174532869942,-10.2692056483486
0.25,-1.98546256604764,-11.293186576783
0.3,-2.59096925645098,-12.074177793023
0.35,-3.22862061160256,-12.6838593059779
0.4,-3.89155197448525,-13.1695389570409
0.45,-4.57475453188257,-13.5633846401248
0.5,-5.27449368034902,-13.8878456171489
0.55,-5.98793149786058,-14.1589510725491
0.6,-6.71287494424885,-14.3883805197889
0.65,-7.44760383050971,-14.5847995628505
0.7,-8.19075073903424,-14.7547430397329
0.75,-8.94121557681153,-14.9032118557087
0.8,-9.6981037051774,-15.0340843633909
0.85,-10.4606804249712,-15.1504050144692
0.9,-11.2283370024165,-15.2545901900687
0.95,-12.0005649641505,-15.3485771272815
1,-12.7769363989092,-15.4339330900779
1.05,-13.5570886749005,-15.5119363215226
1.1,-14.3407124356688,-15.5836366534309
1.15,-15.1275420477204,-15.6499012156892
1.2,-15.9173478873411,-15.7114490370969
1.25,-16.7099300018785,-15.7688771849124
1.3,-17.5051127813744,-15.8226802725
1.35,-18.3027403416625,-15.8732645543533
1.4,-19.1026723565383,-15.9209573413687
1.45,-19.9047800867635,-15.966012042302
1.5,-20.7089423358011,-16.0086087149331
1.55,-21.5150410096724,-16.0488495411875
1.6,-22.3229558578389,-16.086748078614
1.65,-23.1325577999963,-16.1222104710806
1.7,-23.9436999612283,-16.1550061365456
1.75,-24.7562050846087,-16.1847253574464
1.8,-25.5698472844749,-16.2107238021054
1.85,-26.3843250858113,-16.2320667528846
1.9,-27.1992215740801,-16.2475351697336
1.95,-28.0139478879955,-16.2559409001565
2,-28.8276767023656,-16.2577263247535
