x,Dy,Rz
0,0,0
0.05,-0.165357784060732,-4.19888492498336
0.1,-0.491936993571763,-6.97132432314263
0.15,-0.926883942128051,-8.88980420179241
0.2,-1.43788831257142,-10.2692056483486
0.25,-2.00421115978699,-11.293186576783
0.3,-2.61199372001223,-12.074177793023
0.35,-3.25165613068256,-12.6838593059779
0.4,-3.91638258371961,-13.1695389570409
0.45,-4.60120175368711,-13.5633846401248
0.5,-5.30240830784821,-13.8878456171489
0.55,-6.01718753000556,-14.1589510725491
0.6,-6.74336502855035,-14.3883805197889
0.65,-7.47923578361284,-14.5847995628505
0.7,-8.22344485196353,-14.7547430397329
0.75,-8.97490250075905,-14.9032118557087
0.8,-9.73272277304452,-15.0340843633909
0.85,-10.4961783041981,-15.1504050144692
0.9,-11.2646666025169,-15.2545901900687
0.95,-12.0376845419442,-15.3485771272815
1,-12.8148088183532,-15.4339330900779
1.05,-13.5956807883985,-15.5119363215226
1.1,-14.3799945609079,-15.5836366534309
1.15,-15.1674875192086,-15.6499012156892
1.2,-15.9579326653721,-15.7114490370969
1.25,-16.7511323239343,-15.7688771849124
1.3,-17.5469128421197,-15.8226802725
1.35,-18.3451199876877,-15.8732645543533
1.4,-19.1456147806775,-15.9209573413687
1.45,-19.9482695037492,-15.966012042302
1.5,-20.7529636154193,-16.0086087149331
1.55,-21.5595792340815,-16.0488495411875
1.6,-22.3679957537999,-16.086748078614
1.65,-23.178082969939,-16.1222104710806
1.7,-23.9896917908749,-16.1550061365456
1.75,-24.8026411228945,-16.1847253574464
1.8,-25.61669874039,-16.2107238021054
1.85,-26.4315527951453,-16.2320667528846
1.9,-27.2467691941137,-16.2475351697336
1.95,-28.0617297800034,-16.2559409001565
2,-28.8755548829353,-16.2577263247535
