epochs,loss
1,0.2698
2,0.0372747
3,0.0336437
4,0.0327034
5,0.0321826
6,0.0317042
7,0.031364
8,0.0318737
9,0.0311308
10,0.0313436
11,0.0303784
12,0.0302582
13,0.0299691
14,0.0290232
15,0.0286298
16,0.0283734
17,0.0280023
18,0.0276117
19,0.026591
20,0.0262733
21,0.0255695
22,0.0250937
23,0.0250511
24,0.0242412
25,0.0236115
26,0.022743
27,0.0233135
28,0.022619
29,0.0218756
30,0.0205578
31,0.0201426
32,0.0198362
33,0.0199152
34,0.0192805
35,0.0190898
36,0.0190006
37,0.0178222
38,0.0202415
39,0.0180033
40,0.0180215
41,0.0183007
42,0.0184091
43,0.0171306
44,0.0177869
45,0.0167834
46,0.0165936
47,0.0184645
48,0.0170134
49,0.0165161
50,0.0166372
51,0.0159266
52,0.016149
53,0.015425
54,0.015524
55,0.0153956
56,0.0162057
57,0.0153981
58,0.0148694
59,0.0161653
60,0.0156577
61,0.0150964
62,0.0151894
63,0.0141577
64,0.0140317
65,0.0137762
66,0.0152122
67,0.0143975
68,0.0142663
69,0.0144334
70,0.0136721
71,0.0138883
72,0.0145272
73,0.014204
74,0.0153943
75,0.0136221
76,0.0125931
77,0.0128333
78,0.0129353
79,0.0125194
80,0.0135403
81,0.012913
82,0.0128085
83,0.0121581
84,0.0127114
85,0.0118414
86,0.0129013
87,0.0119115
88,0.011833
89,0.0117169
90,0.0136211
91,0.012761
92,0.0111242
93,0.0138384
94,0.0107657
95,0.0106766
96,0.0110212
97,0.0113121
98,0.0124179
99,0.0112902
100,0.0104035
101,0.0106142
102,0.0108704
103,0.0121911
104,0.0103692
105,0.00998947
106,0.0104313
107,0.0118185
108,0.00918806
109,0.0105757
110,0.0100043
111,0.0100249
112,0.0107405
113,0.00889855
114,0.0104884
115,0.0098029
116,0.00933607
117,0.00941554
118,0.00935956
119,0.0105176
120,0.00904446
121,0.00866172
122,0.0094632
123,0.00832685
124,0.00872386
125,0.00831607
126,0.00856833
127,0.00835578
128,0.00811129
129,0.00905847
130,0.00868169
131,0.00914218
132,0.00837812
133,0.00776554
134,0.00804764
135,0.00701134
136,0.00679361
137,0.00726595
138,0.00755927
139,0.00790085
140,0.00701629
141,0.0104081
142,0.00684799
143,0.00809038
144,0.00702552
145,0.00696465
146,0.00633393
147,0.00685117
148,0.00635769
149,0.00681151
150,0.0063874
151,0.00676623
152,0.00695582
153,0.00704104
154,0.00599573
155,0.0059528
156,0.00664297
157,0.0058225
158,0.00685938
159,0.00658185
160,0.00516706
161,0.00593951
162,0.00518857
163,0.00489815
164,0.00698582
165,0.00654659
166,0.00673815
167,0.00470834
168,0.00523965
169,0.00575537
170,0.00454534
171,0.0050529
172,0.00521987
173,0.00761634
174,0.00522097
175,0.00411914
176,0.00476764
177,0.00556895
178,0.00499669
179,0.00431726
180,0.00438191
181,0.00503483
182,0.00482793
183,0.0046487
184,0.00414204
185,0.0045932
186,0.0050782
187,0.00394275
188,0.00417644
189,0.00433072
190,0.00483049
191,0.00392152
192,0.00461366
193,0.0042794
194,0.00383527
195,0.00487943
196,0.0037104
197,0.00395141
198,0.00383516
199,0.00467949
200,0.00448433
201,0.0039404
202,0.00396546
203,0.00351026
204,0.00365281
205,0.00370229
206,0.00346273
207,0.00378204
208,0.00363792
209,0.00505542
210,0.00358176
211,0.00285405
212,0.00328163
213,0.00359514
214,0.00361957
215,0.00361857
216,0.00305122
217,0.00341108
218,0.00339245
219,0.00275377
220,0.00444064
221,0.00310514
222,0.00312716
223,0.00336259
224,0.00270909
225,0.00321962
226,0.00367709
227,0.00408228
228,0.00362554
229,0.00264341
230,0.00306392
231,0.00254269
232,0.00309869
233,0.00259568
234,0.00253712
235,0.00309382
236,0.00317661
237,0.00331537
238,0.00269902
239,0.00252265
240,0.00311614
241,0.00299014
242,0.00338024
243,0.00228752
244,0.00318958
245,0.00372878
246,0.00248367
247,0.00285026
248,0.0026729
249,0.00226066
250,0.00243005
251,0.00409066
252,0.0021529
253,0.00271471
254,0.00236648
255,0.00194703
256,0.00198059
257,0.00185889
258,0.00198027
259,0.00239028
260,0.00221284
261,0.00209551
262,0.00206023
263,0.0020681
264,0.00210303
265,0.00255351
266,0.00280815
267,0.00278666
268,0.00180901
269,0.00205815
270,0.00228941
271,0.00297675
272,0.00163869
273,0.00195563
274,0.00271374
275,0.00186087
276,0.00372215
277,0.00252668
278,0.0016696
279,0.00273985
280,0.00357872
281,0.0016507
282,0.00178948
283,0.00161144
284,0.00173478
285,0.00191716
286,0.00175384
287,0.00273188
288,0.00287032
289,0.00188844
290,0.00175414
291,0.00192291
292,0.00159094
293,0.00137487
294,0.0013684
295,0.00186761
296,0.00191867
297,0.00179695
298,0.00166196
299,0.00138086
300,0.00128821
301,0.00140398
302,0.00161511
303,0.00255403
304,0.00166439
305,0.0014253
306,0.00278988
307,0.00137314
308,0.00123221
309,0.00146766
310,0.00127071
311,0.00146593
312,0.00162795
313,0.00151436
314,0.00140476
315,0.00154364
316,0.00158101
317,0.00125698
318,0.00146746
319,0.00163081
320,0.00262976
321,0.00135368
322,0.0013354
323,0.00109776
324,0.00153381
325,0.00124511
326,0.00139158
327,0.00152907
328,0.00129277
329,0.00259283
330,0.00122918
331,0.00196691
332,0.0012313
333,0.00118681
334,0.002279
335,0.00191675
336,0.00109077
337,0.00144362
338,0.000987844
339,0.00143598
340,0.00161694
341,0.00140468
342,0.00111589
343,0.00128424
344,0.00293086
345,0.000932375
346,0.000990027
347,0.00110116
348,0.00144293
349,0.00133614
350,0.00103555
